"citationKey","doi","entryAuthor","entryCreationDate","incubationTime","X.Alfisol.","X.Dark.grey.Luvisol.","X.Gelisols.","X.Coarse..to.fine.loamy.","X.Fine.loamy.Haplumbrepts..organic.poor..CL..","X.Coarse.loamy.Haplumbrepts..organic.rich..CH..","X.Fine.loamy.Dystrochrept..HMC..","X.organic.poor..HMC..HMH..","X.organic.rich..HOC..HOH..","X.Ulttisol.","X.Ultisol.","X.Ultisol..1","X.Ferric.podzol.","X.Dystric.cambisol.","X.Cambic.podzol.","X.Chromic.luvisol.","X.Chromic.cambisol.","X.Haplocryods..Cryochrepts.","X.Udipsamment.","X.Haplorthods..Fragiorthods.","X.Hapludults..Dystrochrepts.","X.Hapludalfs..Quartzipsamment..Endoaquults..Paleaquults..Alaquods.","X.Kanhapludults.","X.silt.loam.haplic.Luvisol.","X.Udic.Boroll.","X.Typic.Argiboroll.","X.Aridic.Paleustoll.","X.Typic.Paleustoll.","X.Hydric.Melanudand.","X.Paleudult...Kandidult.","X.Chernic.tenosol.","X.Stagnic.Cambisol.","X.Stagnic.Gleysol.","X.mor.type.humus.layer.","X.mor.type.humus.layer..1","X.mor.type.humus.layer..2","X.mor.type.humus.layer..3","X.mor.type.humus.layer..4","X.mor.type.humus.layer..5","X.mor.type.humus.layer..6","X.Cambisol.","X.Humic.anfisol.","X.Gleyic.luvisol.","X.Luvisol.","X.Dystric.cambisol..1","X.Peaty.gley.","NA_real_.","NA_real_..1","X.Cambisol..1","NA_real_..2","X.Gleyic.luvisol..1","X.Luvisol..1","X.Dystric.cambisol..2","X.Peaty.gley..1","NA_real_..3","NA_real_..4","X.Gelic.Cambisol.","X.Oxyaquic.Hapludalf.","X.Tyipc.Hapludalf.","X.Aeric.Haplaquept.","X.Mollic.Udifluvent.","X.Aquic.Haplustoll.","X.Typic.Argiudoll.","X.Orthic.Black.Chernozem.","X.Andisol.","X.Permafrost.","X.Inceptisol.cryept.","X.Gelisol.orthel.","X.Gelisol.histel.","X.Helena.series..Ultisol.","X.Typical.Haplaquept.","X.Typical.Hapludult.","X.Typical.Fluvaquent."
"ReyJarvis2006","10.1111/j.1365-2486.2006.01230.x","Heidi Voelkel","2016-10-27",270,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Sierra2017BG","10.5194/bg-2016-474","Carlos A. Sierra","2017-01-24",35,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Song2010","10.1016/j.ejsobi.2010.09.003","Heidi Voelkel","2017-01-06",28,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Stewart2008SBB","10.1016/j.soilbio.2008.02.014","Maddie Tilyou","2016-10-4",544,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Townsend1997","10.1023/A:1017942918708","Heidi Voelkel","2017-01-06",225,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Wang2010","10.1016/S1001-0742(09)60217-5","Heidi Voelkel","2017-01-10",40,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"WicklandNeff2008","10.1007/s10533-007-9166-3","Heidi Voelkel","2017-01-26",57,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Winkler1996","10.1016/0038-0717(96)00076-4","Heidi Voelkel","2017-01-30",120,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Zhang2007","10.1016/S1001-0742(07)60052-7","Heidi Voelkel","2017-01-31",114,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"ZhuCheng2011","10.1016/j.soilbio.2010.12.021","Heidi Voelkel","2017-02-07",122,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
